email_text,label
Congratulations! You have won a $500 gift card. Click here to claim your prize now.,Phishing
Urgent: Your bank account has been suspended. Verify your account immediately using the link below.,Phishing
Your password will expire today. Click the link to keep your account active.,Phishing
You have received a payment. Confirm your bank details to receive the money.,Phishing
Security alert: We detected unusual activity. Login now to secure your account.,Phishing
Your email storage is full. Click here to increase your storage immediately.,Phishing
"Dear customer, your account has been selected for a special reward. Claim it now.",Phishing
Your package could not be delivered. Confirm your address by clicking this link.,Phishing
Final warning! Your account will be deleted unless you verify your identity today.,Phishing
You are eligible for a refund. Submit your banking information to receive it.,Phishing
Important security notice: Please confirm your username and password immediately.,Phishing
You won a lottery prize! Send your personal information to process the payment.,Phishing
Your Microsoft account requires verification. Sign in using the attached link.,Phishing
Unusual login detected from another location. Verify your account now.,Phishing
Click this link to receive your free cryptocurrency reward before it expires.,Phishing
Your invoice is overdue. Open the link and provide payment details immediately.,Phishing
We noticed suspicious activity on your account. Confirm your credentials now.,Phishing
"Congratulations, you have been selected for an exclusive cash bonus. Claim today.",Phishing
Your account will be locked in 24 hours. Click here to prevent suspension.,Phishing
Please verify your credit card information to avoid interruption of service.,Phishing
"Hi John, the project meeting has been moved to 3 PM tomorrow.",Safe
Please find attached the report from today's team meeting.,Safe
Your order has been shipped and is expected to arrive on Friday.,Safe
Reminder: Your appointment is scheduled for Monday at 10 AM.,Safe
Thank you for submitting your application. We will review it and contact you soon.,Safe
The monthly team newsletter is now available.,Safe
Here are the notes from yesterday's presentation.,Safe
Your electricity bill for August is available in your customer portal.,Safe
The software update was successfully installed on your computer.,Safe
Please review the attached document before our meeting.,Safe
Your library books are due next week. Thank you.,Safe
The training session will begin at 9 AM in Room 204.,Safe
Your flight booking confirmation is attached to this email.,Safe
Thank you for contacting customer support. Your ticket has been received.,Safe
The quarterly financial report is ready for review.,Safe
Your subscription has been renewed successfully.,Safe
The office will be closed on Friday for maintenance.,Safe
Please send me the updated presentation when you have time.,Safe
Your interview is confirmed for Wednesday at 2 PM.,Safe
The team lunch has been scheduled for Friday afternoon.,Safe
